Source,Target,Type,Id,Weight
0,1,Directed,0,1
1,2,Directed,1,1
2,3,Directed,2,1
3,4,Directed,3,1
4,5,Directed,4,1
5,6,Directed,5,1
6,7,Directed,6,1
7,8,Directed,7,1
8,9,Directed,8,1
9,10,Directed,9,1
10,11,Directed,10,1
12,13,Directed,11,1
13,14,Directed,12,1
14,15,Directed,13,1
15,16,Directed,14,1
16,17,Directed,15,1
18,19,Directed,16,1
19,20,Directed,17,1
20,21,Directed,18,1
21,22,Directed,19,1
22,23,Directed,20,1
23,24,Directed,21,1
24,25,Directed,22,1
25,26,Directed,23,1
26,27,Directed,24,1
27,28,Directed,25,1
28,29,Directed,26,1
30,31,Directed,27,1
31,32,Directed,28,1
32,33,Directed,29,1
34,35,Directed,30,1
35,36,Directed,31,1
36,37,Directed,32,1
37,38,Directed,33,1
